ID,Customer_ID,Month,Name,Age,SSN,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
CUS_0x00001e,CUS_00000030,July,Nicole Vaughn,28,731-40-6538,Engineer,12154.85,905.82,1,1,17.68,3,Credit-Builder Loan,3,3,31.53292916709829,7,Standard,21870.65,22.9,10,Yes,295.03,117.27,High_spent_Small_value_payments,112.41,Poor
CUS_0x00001f,CUS_00000031,April,Marie Kim DDS,20,124-32-3682,Manager,5021.15,417.66,1,3,19.83,1,Mortgage Loan,53,3,-30.876700650202636,7,Bad,2054.1,50.23,162,Yes,135.29,60.94,Low_spent_Small_value_payments,89.41,Standard
CUS_0x000020,CUS_00000032,January,Alex Spencer,21,603-29-0118,Nurse,57748.37,5228.5,3,3,16.98,2,Debt Consolidation Loan,31,1,58.914337909360114,3,Good,48924.05,91.88,297,Yes,2478.57,36.11,Low_spent_Small_value_payments,-1108.81,Standard
CUS_0x000021,CUS_00000033,May,Mark Perez,59,033-43-1161,Manager,12056.42,1169.75,1,0,7.46,0,Credit-Builder Loan,1,2,0.024875753671629752,3,Standard,7509.8,53.74,219,No,645.6,121.54,Low_spent_Large_value_payments,-318.88,Good
CUS_0x000022,CUS_00000034,December,Diana Washington,35,553-17-9356,Student,51048.29,3642.9,2,0,8.53,1,Debt Consolidation Loan,5,3,99.53113777689211,0,Bad,1336.9,29.96,256,Yes,677.44,434.22,Low_spent_Medium_value_payments,595.75,Good
CUS_0x000023,CUS_00000035,February,Dana Kennedy,68,417-25-1546,Artist,26851.71,2538.89,1,1,16.75,0,Home Equity Loan,12,3,70.11246572291816,6,Bad,41102.25,15.62,291,No,1090.66,501.88,Low_spent_Large_value_payments,-1007.99,Poor
CUS_0x000024,CUS_00000036,March,Jeffrey Henderson,18,479-94-0888,Teacher,4348.02,339.04,1,2,16.39,2,Home Equity Loan,8,7,46.43883454213798,1,Good,3534.01,89.27,59,Yes,166.29,34.77,High_spent_Large_value_payments,-59.67,Good
CUS_0x000025,CUS_00000037,September,Victoria Garcia,59,413-94-5560,Student,13925.66,1118.42,1,3,16.04,1,Payday Loan,3,2,54.82687797413567,8,Standard,24187.97,25.79,298,Yes,93.52,280.14,High_spent_Medium_value_payments,-14.06,Standard
CUS_0x000026,CUS_00000038,July,Ashley Lee,21,550-58-2297,Sales,66371.65,5700.25,4,2,10.48,1,Credit-Builder Loan,10,2,87.16179188874398,9,Standard,18170.65,40.44,47,Yes,2636.63,721.71,High_spent_Large_value_payments,2280.21,Standard
CUS_0x000027,CUS_00000039,November,Donald Wright,19,078-57-9017,Lawyer,36962.49,2548.26,1,2,21.74,1,Credit-Builder Loan,24,5,43.499882635748605,1,Good,35761.58,10.66,287,No,114.88,556.68,High_spent_Small_value_payments,-586.33,Poor
CUS_0x000028,CUS_00000040,June,Matthew Fernandez,42,016-12-3873,Artist,47476.17,3168.78,2,0,24.35,0,Payday Loan,1,4,77.37934773479789,8,Standard,49498.72,90.34,234,Yes,1229.48,658.96,High_spent_Small_value_payments,-1309.64,Standard
CUS_0x000029,CUS_00000041,August,John Lewis,58,411-08-2698,Lawyer,33847.43,2609.47,1,2,7.41,2,Personal Loan,2,0,34.101579100527104,1,Bad,28551.16,88.5,255,Yes,830.23,345.26,Low_spent_Large_value_payments,770.69,Standard
CUS_0x00002a,CUS_00000042,May,William Baker,40,803-59-4674,Doctor,18272.06,1534.96,2,3,13.54,2,Home Equity Loan,5,2,44.12581948275552,7,Good,6777.94,27.17,215,Yes,366.81,42.23,High_spent_Large_value_payments,-178.11,Standard
CUS_0x00002b,CUS_00000043,December,Tyler Cowan,56,570-85-7974,Lawyer,125207.72,11906.51,1,2,19.31,1,Student Loan,3,1,97.34957726201225,7,Good,27412.38,46.74,163,No,4382.15,596.64,High_spent_Large_value_payments,-1290.31,Standard
CUS_0x00002c,CUS_00000044,October,Edward Novak,69,594-95-8884,Engineer,18973.73,1589.17,4,1,9.61,0,Personal Loan,2,2,63.73577135561369,0,Standard,2194.98,15.39,248,Yes,777.9,107.0,High_spent_Small_value_payments,745.48,Good
CUS_0x00002d,CUS_00000045,December,Erik Williams,73,489-65-8702,Artist,2331.65,229.72,1,2,22.24,2,Mortgage Loan,10,1,98.72130027175723,1,Standard,1904.74,49.51,200,Yes,66.24,40.83,Low_spent_Large_value_payments,-29.25,Good
CUS_0x00002e,CUS_00000046,November,Tyler Miller,75,191-09-9750,Accountant,142201.91,13644.89,2,4,20.95,1,Mortgage Loan,18,6,61.526238443741164,1,Standard,45107.9,81.8,294,No,6812.63,2077.3,Low_spent_Large_value_payments,5196.94,Good
CUS_0x00002f,CUS_00000047,December,Scott Powell,56,584-32-9486,Lawyer,42299.68,3001.09,1,2,10.67,0,Student Loan,5,2,56.28580069039441,5,Standard,63762.43,34.59,168,Yes,1118.05,41.18,High_spent_Medium_value_payments,866.74,Poor
CUS_0x000030,CUS_00000048,February,Lisa Barnes,67,598-73-8566,Entrepreneur,166109.41,11196.46,2,2,11.47,1,Debt Consolidation Loan,14,2,52.07489531120696,5,Good,331263.53,13.13,34,No,5831.48,3235.45,High_spent_Large_value_payments,-826.51,Poor
CUS_0x000031,CUS_00000049,January,Dean Santiago,73,322-31-4352,Teacher,42201.08,3882.63,2,2,13.85,0,Mortgage Loan,3,2,66.48952791876125,1,Bad,73271.45,76.1,267,Yes,1458.83,152.87,Low_spent_Medium_value_payments,834.47,Standard
CUS_0x000032,CUS_00000050,June,Michael Evans,70,324-97-1189,Engineer,18739.23,1403.91,1,2,16.17,0,Payday Loan,1,2,48.547578634673954,8,Good,16237.42,86.01,241,Yes,656.9,16.69,Low_spent_Large_value_payments,679.98,Standard
CUS_0x000033,CUS_00000051,October,Marc Hart,39,103-10-8809,Engineer,11841.86,979.86,1,2,9.21,0,Student Loan,14,1,53.97909112340214,1,Bad,12652.84,4.12,85,Yes,394.13,279.71,Low_spent_Large_value_payments,374.83,Standard
CUS_0x000034,CUS_00000052,March,Derek Mahoney,78,071-32-6055,Nurse,134858.33,10516.48,4,3,21.3,0,Credit-Builder Loan,22,3,-0.6473843278006726,3,Standard,141979.57,74.43,89,Yes,5501.17,1368.16,Low_spent_Medium_value_payments,2435.51,Poor
CUS_0x000035,CUS_00000053,December,Jeffrey Daniels,49,310-79-8667,Manager,427201.19,37740.74,3,1,8.99,1,Home Equity Loan,0,0,65.15858321001704,7,Standard,220164.87,54.33,64,No,11639.15,6658.13,Low_spent_Medium_value_payments,-1410.64,Standard
CUS_0x000036,CUS_00000054,May,Robert Evans,75,680-14-2201,Student,19823.2,1754.36,4,4,24.84,0,Student Loan,4,3,23.841678467205213,5,Standard,30765.61,87.07,267,Yes,468.74,270.95,Low_spent_Large_value_payments,-166.12,Standard
CUS_0x000037,CUS_00000055,December,Steve Newton,42,160-35-4617,Nurse,11095.14,835.14,3,1,18.13,0,Student Loan,14,0,-28.136514763287245,4,Bad,21520.6,24.87,33,Yes,309.24,177.08,Low_spent_Large_value_payments,-38.59,Poor
CUS_0x000038,CUS_00000056,May,Michelle Harris,71,650-34-8281,Manager,51383.84,4190.13,2,3,22.28,1,Personal Loan,7,0,-2.5765842534874253,0,Bad,101400.15,58.47,49,Yes,1730.21,499.52,High_spent_Medium_value_payments,-1579.8,Poor
CUS_0x000039,CUS_00000057,June,Taylor Mathis Jr.,67,434-36-0723,Manager,25319.82,1977.19,4,2,15.64,0,Debt Consolidation Loan,1,1,53.89389283392468,6,Good,37113.73,97.86,183,Yes,444.03,10.39,Low_spent_Small_value_payments,-667.53,Standard
CUS_0x00003a,CUS_00000058,September,Ray Walsh,35,269-21-7240,Engineer,57697.29,5001.6,2,0,23.82,2,Personal Loan,10,2,81.77733419520217,5,Standard,69808.41,32.7,294,No,2003.42,1212.16,High_spent_Small_value_payments,-909.73,Poor
CUS_0x00003b,CUS_00000059,February,Jessica Smith,35,078-89-2443,Sales,15302.9,1187.7,4,2,17.6,1,Student Loan,8,2,25.066796369611225,4,Good,16701.18,86.33,94,Yes,369.91,170.74,Low_spent_Small_value_payments,-66.01,Standard
CUS_0x00003c,CUS_00000060,April,Sandra Aguilar,70,152-56-2089,Manager,24091.35,2220.33,1,2,21.26,2,Mortgage Loan,30,0,21.877484416539986,2,Bad,9433.11,10.14,48,Yes,647.28,171.04,High_spent_Medium_value_payments,-1093.37,Poor
CUS_0x00003d,CUS_00000061,October,Jacob Fitzpatrick,69,882-06-5863,Accountant,37138.84,3231.49,2,2,19.32,0,Payday Loan,5,0,94.43903128563696,3,Standard,13455.35,8.7,111,Yes,1581.65,362.1,High_spent_Small_value_payments,585.28,Standard
CUS_0x00003e,CUS_00000062,October,David Garcia,62,799-72-6659,Lawyer,35311.41,3052.72,3,3,20.87,1,Auto Loan,1,4,13.591721936995299,4,Standard,21332.36,16.8,219,Yes,1349.68,790.16,Low_spent_Large_value_payments,708.1,Standard
CUS_0x00003f,CUS_00000063,March,Nicole Frost,72,243-21-2901,Accountant,5932.26,521.64,2,1,10.14,1,Home Equity Loan,0,1,58.650822569311174,9,Standard,7083.67,90.55,165,No,241.82,41.45,High_spent_Small_value_payments,91.73,Standard
CUS_0x000040,CUS_00000064,March,Allison Doyle,54,341-53-4066,Sales,7326.26,691.57,2,0,18.39,0,Credit-Builder Loan,10,2,16.952852679646327,3,Standard,3382.23,6.01,54,No,233.32,198.68,Low_spent_Large_value_payments,-29.84,Poor
CUS_0x000041,CUS_00000065,June,Richard Rodriguez,30,894-05-7712,Artist,81732.76,6675.85,1,2,20.12,0,Student Loan,10,3,-36.63133518259751,6,Standard,24914.76,86.47,163,Yes,2437.3,1015.07,Low_spent_Small_value_payments,3287.75,Good
CUS_0x000042,CUS_00000066,June,Robert Stevens,69,313-30-3653,Accountant,7550.78,642.77,2,0,11.11,0,Personal Loan,5,5,68.5045654460592,3,Standard,3148.83,81.87,254,Yes,124.39,4.41,Low_spent_Small_value_payments,276.77,Standard
CUS_0x000043,CUS_00000067,May,Corey Murphy,44,886-09-4574,Doctor,7812.06,670.58,5,2,14.59,0,Credit-Builder Loan,9,1,25.916133227012622,3,Standard,12957.59,8.0,30,Yes,312.51,24.55,High_spent_Large_value_payments,-122.36,Poor
CUS_0x000044,CUS_00000068,September,Jordan Frazier,45,864-69-5426,Teacher,23493.39,1735.41,2,1,17.39,1,Personal Loan,1,0,-38.805527849437745,2,Standard,36685.47,17.78,165,No,720.14,321.77,High_spent_Small_value_payments,-69.76,Poor
CUS_0x000045,CUS_00000069,June,Ashley Waller,21,183-75-4350,Manager,4749.06,431.26,3,2,20.84,1,Debt Consolidation Loan,10,2,37.32223446699584,6,Good,1680.09,13.71,236,Yes,138.52,27.84,High_spent_Medium_value_payments,-48.7,Good
CUS_0x000046,CUS_00000070,April,Kyle Reed,38,806-41-7150,Lawyer,33397.5,2769.6,1,0,7.19,1,Mortgage Loan,6,1,18.917015260897998,4,Good,32612.07,95.62,165,Yes,221.26,84.87,High_spent_Medium_value_payments,-969.23,Standard
CUS_0x000047,CUS_00000071,May,Kayla Cruz,73,591-25-4174,Student,69032.07,6742.87,2,1,10.06,2,Payday Loan,17,2,-43.74906490964236,8,Standard,31335.69,74.62,15,Yes,2666.27,1622.6,Low_spent_Medium_value_payments,2625.61,Poor
CUS_0x000048,CUS_00000072,February,Jeffrey Meyer,52,826-69-3229,Other,9872.49,875.81,1,1,8.7,0,Personal Loan,1,2,-31.792037276089037,3,Bad,413.56,77.46,216,No,338.36,139.33,High_spent_Small_value_payments,-365.94,Good
CUS_0x000049,CUS_00000073,September,Benjamin Beck,79,339-80-5144,Student,16178.69,1403.17,1,2,16.65,2,Credit-Builder Loan,16,1,91.46137566170614,3,Good,10945.45,12.15,263,Yes,166.25,373.35,Low_spent_Small_value_payments,600.67,Good
CUS_0x00004a,CUS_00000074,April,Belinda Mccullough,73,520-40-6692,Sales,46452.59,4265.96,1,2,14.21,2,Personal Loan,12,2,94.76946131904947,2,Standard,50635.82,15.07,154,No,876.36,529.09,Low_spent_Large_value_payments,2067.58,Standard
CUS_0x00004b,CUS_00000075,September,Michael Spencer,54,197-54-6212,Engineer,28022.22,2683.9,1,2,17.73,2,Credit-Builder Loan,1,1,61.35220758587637,6,Good,13824.98,61.5,35,Yes,1107.73,302.15,Low_spent_Large_value_payments,607.8,Good
CUS_0x00004c,CUS_00000076,June,Stephanie Gilbert,26,309-52-8978,Accountant,19263.8,1291.34,3,0,19.99,2,Payday Loan,11,4,-23.244112353900526,9,Bad,14847.61,61.96,214,Yes,275.44,307.67,High_spent_Large_value_payments,185.13,Standard
CUS_0x00004d,CUS_00000077,April,Elizabeth Clark,37,805-75-9940,Sales,58717.03,5049.63,2,3,16.23,1,Payday Loan,9,3,28.044486537798107,3,Standard,58512.18,12.24,234,No,2228.42,357.3,Low_spent_Large_value_payments,-2135.7,Standard
CUS_0x00004e,CUS_00000078,June,Julie Ramos,69,219-66-7753,Teacher,47719.72,4193.25,1,1,20.71,0,Auto Loan,5,3,89.44253843135263,2,Good,17606.31,94.07,203,No,652.38,540.5,Low_spent_Small_value_payments,-577.68,Standard
CUS_0x00004f,CUS_00000079,August,Toni Fitzgerald,68,675-11-4650,Other,11033.4,913.19,2,2,7.67,0,Home Equity Loan,12,3,-43.31076374405577,5,Standard,3506.6,26.17,197,No,135.32,248.27,High_spent_Small_value_payments,100.66,Poor
CUS_0x000050,CUS_00000080,July,Mackenzie Rogers,73,839-97-3849,Student,20608.76,1418.82,2,3,14.75,0,Mortgage Loan,0,1,-42.161318107096434,7,Good,21945.06,26.02,75,Yes,622.14,417.69,High_spent_Medium_value_payments,-126.14,Standard
CUS_0x000051,CUS_00000081,February,Courtney Gonzalez,35,026-06-4012,Entrepreneur,34406.48,2467.23,1,1,9.51,0,Auto Loan,18,2,14.29458204557136,4,Standard,59188.75,94.57,166,Yes,1258.25,495.19,Low_spent_Large_value_payments,549.73,Standard
CUS_0x000052,CUS_00000082,April,Miss Patricia Gibson,51,645-74-3186,Lawyer,19473.73,1821.71,3,1,14.18,0,Home Equity Loan,15,1,-11.675998301659298,8,Standard,6414.89,56.02,299,Yes,820.56,304.94,High_spent_Large_value_payments,-309.3,Good
CUS_0x000053,CUS_00000083,August,Janet Ross,19,152-84-0091,Lawyer,20722.11,1454.33,4,2,18.14,2,Credit-Builder Loan,4,3,-26.3067765746978,3,Good,11900.21,55.78,232,Yes,144.88,267.66,High_spent_Small_value_payments,425.91,Standard
CUS_0x000054,CUS_00000084,February,Shannon Mcclure,62,798-55-3586,Engineer,16889.6,1144.77,5,1,12.27,2,Home Equity Loan,17,4,99.56172356224926,9,Standard,24987.49,42.75,134,No,111.43,4.33,High_spent_Large_value_payments,-206.44,Poor
CUS_0x000055,CUS_00000085,January,Tyler Holmes,42,052-72-4083,Other,13331.66,1252.76,2,5,15.82,2,Mortgage Loan,3,3,13.017809177158746,1,Standard,13177.35,34.79,270,Yes,338.51,281.43,Low_spent_Medium_value_payments,411.22,Standard
CUS_0x000056,CUS_00000086,September,Barbara Anderson,74,476-86-8703,Lawyer,153872.08,11560.79,3,3,5.62,2,Debt Consolidation Loan,1,1,-4.203398495490305,4,Good,209779.8,3.32,276,No,2108.32,2265.32,High_spent_Medium_value_payments,-3848.22,Poor
CUS_0x000057,CUS_00000087,November,Linda Dodson DVM,31,628-93-8271,Lawyer,18056.5,1360.43,4,0,23.14,1,Home Equity Loan,8,0,-47.299986658217755,7,Standard,16144.52,73.99,212,Yes,749.39,114.29,High_spent_Medium_value_payments,-53.93,Standard
CUS_0x000058,CUS_00000088,September,Terry Griffin,65,163-96-7778,Artist,37830.44,3438.37,4,5,11.1,2,Student Loan,3,1,39.75362264466382,2,Good,53241.49,22.64,211,Yes,1506.51,617.68,High_spent_Small_value_payments,139.94,Standard
CUS_0x000059,CUS_00000089,September,Paul Larsen,76,284-99-8541,Manager,56971.57,4807.1,4,1,21.76,0,Home Equity Loan,5,2,80.28272594804332,1,Standard,75068.59,87.9,188,Yes,1649.14,746.23,High_spent_Large_value_payments,-1190.68,Standard
CUS_0x00005a,CUS_00000090,September,Mr. Jeremiah Reeves,64,241-35-5503,Doctor,7183.75,705.95,2,1,13.9,2,Auto Loan,10,1,-9.65615812602934,5,Standard,3364.65,7.09,237,No,107.75,76.64,Low_spent_Large_value_payments,202.43,Standard
CUS_0x00005b,CUS_00000091,October,Joshua Taylor,29,237-50-2504,Lawyer,49343.64,4067.51,1,2,17.45,1,Personal Loan,5,3,-43.34183417437183,8,Good,4884.71,39.7,98,Yes,212.55,752.98,High_spent_Large_value_payments,1355.77,Standard
CUS_0x00005c,CUS_00000092,October,Amy Russell,41,556-60-6813,Other,62208.04,5603.41,2,0,24.86,0,Mortgage Loan,3,2,-49.765234221279066,6,Standard,112921.41,71.76,197,Yes,2789.11,68.18,Low_spent_Large_value_payments,1199.31,Poor
CUS_0x00005d,CUS_00000093,March,Ross Price,37,789-75-0321,Entrepreneur,10847.73,756.55,2,2,16.93,1,Student Loan,22,1,-32.6393589981942,6,Standard,16268.36,87.37,87,No,328.63,27.36,High_spent_Large_value_payments,-66.07,Standard
CUS_0x00005e,CUS_00000094,February,Pamela James,19,007-46-4893,Student,79387.72,6073.27,5,3,14.72,1,Home Equity Loan,0,0,50.944993359164854,6,Bad,88698.69,54.25,273,Yes,3140.16,1075.49,High_spent_Large_value_payments,-952.49,Standard
CUS_0x00005f,CUS_00000095,January,Sarah Ashley,61,430-69-8948,Teacher,37349.26,2613.05,4,4,22.79,0,Debt Consolidation Loan,4,0,-26.831037916501433,9,Good,29354.59,64.58,68,Yes,998.55,267.0,Low_spent_Medium_value_payments,67.45,Good
CUS_0x000060,CUS_00000096,October,Stephanie Freeman,48,280-56-7957,Nurse,34078.61,2519.42,1,3,24.76,1,Personal Loan,11,1,-46.497185550772116,4,Good,1876.83,28.92,181,Yes,1360.61,87.78,Low_spent_Small_value_payments,13.74,Poor
CUS_0x000061,CUS_00000097,March,George Shelton,59,415-93-2705,Engineer,13701.03,1362.8,2,5,10.77,3,Personal Loan,4,1,-4.650012597275939,2,Standard,14835.68,17.72,206,Yes,414.93,276.94,High_spent_Large_value_payments,-471.33,Poor
CUS_0x000062,CUS_00000098,June,Tamara Hooper,38,547-04-6456,Student,23414.61,2341.24,2,2,8.01,2,Personal Loan,2,3,-30.144143144754132,4,Standard,37113.16,59.91,285,Yes,496.52,322.01,High_spent_Small_value_payments,-90.27,Standard
CUS_0x000063,CUS_00000099,July,Mary Miller,71,439-18-7565,Student,29972.95,2464.56,1,3,5.69,3,Debt Consolidation Loan,29,1,40.8632954708585,8,Standard,45236.45,36.23,25,Yes,1073.14,661.33,High_spent_Small_value_payments,-19.89,Poor
CUS_0x000064,CUS_00000100,June,David Murphy,44,466-42-5530,Student,72689.79,5331.73,3,2,7.19,2,Credit-Builder Loan,5,2,-29.83473058878172,4,Good,128437.74,35.87,168,Yes,2573.43,445.88,High_spent_Large_value_payments,-275.55,Poor
CUS_0x000065,CUS_00000101,July,Jamie Walton,73,852-54-4134,Entrepreneur,93613.84,8826.13,5,1,10.89,0,Auto Loan,13,2,58.47242296969442,3,Standard,141062.57,40.71,287,No,349.57,923.62,Low_spent_Large_value_payments,2373.55,Standard
